Experience,Income
65.06,1693.51
65.16,3540.7
65.25,2290.92
65.35,2275.6
65.45,2263.93
65.55,2382.44
65.65,2218.65
65.74,2011.47
65.84,2032.38
65.94,2296.98
66.04,2049.23
66.14,1972.14
66.24,2389.44
66.33,2216.44
66.43,3103.66
66.53,1033.95
66.63,2913
66.73,2998.14
66.82,1346.3
66.92,2219.58
67.02,2213.17
67.12,1703.14
67.22,2026.03
67.31,1867.74
67.41,3307.29
67.51,2907.15
67.61,3083.29
67.71,2816.6
67.8,1899.52
67.9,2210.1
68,2725.41
68.1,1878.06
68.2,2854.07
68.3,2385.89
68.39,2327.16
68.49,2878.62
68.59,2753.87
68.69,2359.9
68.79,3128.74
68.88,2017.27
68.98,2874.53
69.08,2871.92
69.18,2429.45
69.28,2756.18
69.37,1976.49
69.47,3073.04
69.57,2527.59
69.67,2367.73
69.77,3162.7
69.86,2295.17
69.96,1952.29
70.06,1887.43
70.16,2978.02
70.26,2044.11
70.36,3571.08
70.45,1662.11
70.55,3560.75
70.65,2827.51
70.75,2683.17
70.85,2468.64
70.94,2950.28
71.04,2741.55
71.14,3321.71
71.24,2836.92
71.34,2864.74
71.43,2617.62
71.53,2780.82
71.63,2973.12
71.73,1974.09
71.83,2165.09
71.92,3220.87
72.02,2944.77
72.12,2777.48
72.22,2888.88
72.32,3063.68
72.42,2630.29
72.51,2521.33
72.61,3018.78
72.71,2442.08
72.81,3145.85
72.91,2100.93
73,3477.35
73.1,3209.66
73.2,3112.02
73.3,3486.04
73.4,3838.16
73.49,3523.39
73.59,2106.59
73.69,2398.11
73.79,2736.41
73.89,3072.82
73.98,3329.62
74.08,2718.98
74.18,3186.34
74.28,2726.41
74.38,2809.55
74.48,2423.22
74.57,2676.23
74.67,2473.35
74.77,2672.64
74.87,3698.84
74.97,2708.8
75.06,4511.23
75.16,3453.28
75.26,3310.67
75.36,2800.75
75.46,3591.81
75.55,2965.61
75.65,3326.26
75.75,4557.17
75.85,3241.02
75.95,3875.66
76.05,2961.46
76.14,3307.62
76.24,4222.64
76.34,3035.92
76.44,4267.85
76.54,3727.77
76.63,3104.98
76.73,3714.78
76.83,3897.28
76.93,3734.37
77.03,2650.87
77.12,3084.99
77.22,3337.42
77.32,3436.63
77.42,3796.9
77.52,3588.19
77.61,2844.49
77.71,3715.14
77.81,3843.26
77.91,3830.84
78.01,4104.36
78.11,3994.01
78.2,3819.78
78.3,3568.29
78.4,2786.12
78.5,3844.7
78.6,3747.08
78.69,3792.41
78.79,3031.7
78.89,3143.04
78.99,4223.69
79.09,3690.94
79.18,4065.13
79.28,3752.24
79.38,3766.72
79.48,4234.8
79.58,3521.51
79.67,3841.51
79.77,3576.29
79.87,3604.2
79.97,3680.95
80.07,3960.74
80.17,3624.49
80.26,4505.98
80.36,3445.1
80.46,3813.32
80.56,3701.3
80.66,4659.11
80.75,4048.42
80.85,4480.63
80.95,3236.56
81.05,4127.54
81.15,4453.57
81.24,4064.69
81.34,4571.13
81.44,3794.65
81.54,4772.92
81.64,5232.71
81.73,3916.91
81.83,3890.71
81.93,4855.33
82.03,4933.66
82.13,3897.74
82.23,3964.42
82.32,4049.03
82.42,3533.16
82.52,3761.58
82.62,3734.41
82.72,3868.22
82.81,4250.46
82.91,4400.66
83.01,5074.61
83.11,3816.04
83.21,4823.3
83.3,4240.12
83.4,4338.42
83.5,4716.65
83.6,3834.03
83.7,4602.8
83.79,4511.09
83.89,4690.42
83.99,4605.16
84.09,5704.66
84.19,4174.64
84.29,4244.57
84.38,4215.12
84.48,4265.63
84.58,4241.41
84.68,5171.41
84.78,5304
84.87,4325.29
84.97,4211.46
85.07,4880.38
85.17,4385.65
85.27,4995.38
85.36,4797.59
85.46,3955.53
85.56,5504.49
85.66,5646.07
85.76,4459.19
85.85,4589.24
85.95,4943.6
86.05,4985.53
86.15,5165.27
86.25,5858.86
86.35,4783.1
86.44,4490.31
86.54,4217.74
86.64,4559.93
86.74,4926.9
86.84,5858.87
86.93,4720.97
87.03,5109.92
87.13,5008.13
87.23,5628.91
87.33,6316.61
87.42,4806.21
87.52,4845.48
87.62,5630.91
87.72,5468.46
87.82,6069.62
87.91,5457.04
88.01,5004.3
88.11,5498.21
88.21,5776.24
88.31,5651.19
88.41,5513.71
88.5,5812.61
88.6,5883.17
88.7,6008.92
88.8,5661.58
88.9,5273.11
88.99,5449.54
89.09,5999.01
89.19,5006.93
89.29,5619.44
89.39,5258.2
89.48,5489.08
89.58,6133.83
89.68,5610.12
89.78,5557.81
89.88,4874.76
89.97,5947.97
90.07,5917.81
90.17,6696.99
90.27,5481.83
90.37,5765.71
90.47,5801.32
90.56,6485.9
90.66,5670.15
90.76,5877.99
90.86,6063.18
90.96,5873.36
91.05,5577.72
91.15,5918.93
91.25,6379.72
91.35,5350.73
91.45,5951.63
91.54,5556.3
91.64,6525.17
91.74,5187.41
91.84,5690.96
91.94,6180.52
92.04,6796.23
92.13,6002.22
92.23,5779.18
92.33,7019.12
92.43,5376.36
92.53,5022.86
92.62,6364.24
92.72,5915.24
92.82,5677.75
92.92,6564.71
93.02,6354.68
93.11,5973.04
93.21,5637.31
93.31,6736.14
93.41,6647.52
93.51,6295.42
93.6,7290.98
93.7,5855.34
93.8,5650.42
93.9,6090.09
94,6436.18
94.1,6603.65
94.19,6384.44
94.29,6704.23
94.39,5925.64
94.49,7296.58
94.59,6556.98
94.68,7180.13
94.78,6816.34
94.88,6896.92
94.98,6977.07
95.08,6939.75
95.17,7061.04
95.27,7428.1
95.37,6885.71
95.47,7165.95
95.57,6790.65
95.66,7579.72
95.76,6545.67
95.86,7808.62
95.96,6912.43
96.06,6241.55
96.16,7045.49
96.25,6665.49
96.35,7450.98
96.45,6729.06
96.55,6857.08
96.65,6160.26
96.74,6903.82
96.84,5943.04
96.94,6388.11
97.04,7585.43
97.14,7623.36
97.23,7468.49
97.33,6797.65
97.43,7282.74
97.53,7330.32
97.63,6778.54
97.72,8135.09
97.82,7847.83
97.92,7324.49
98.02,7474.31
98.12,7591.03
98.22,6492.02
98.31,7415.42
98.41,7224.22
98.51,7090.67
98.61,7477.28
98.71,8543.1
98.8,7991.18
98.9,7411.74
99,8010.27
