cake_age_days,signup_season,last_order_days_ago,tasty_level,Cherry_or_not,Look_of_cake,Cream_level,layer_count
335,1,38,7,1,5,9,3
337,0,42,6,1,3,11,3
327,3,39,6,1,3,9,3
13,2,130,0,0,1,2,0
244,1,69,5,1,3,6,2
121,0,97,3,0,1,4,1
435,3,18,9,1,4,13,4
310,1,38,6,1,4,11,3
217,2,69,5,1,2,8,2
47,3,132,0,0,1,1,0
203,2,67,4,1,4,6,2
241,2,74,4,1,2,6,2
331,3,44,6,1,5,11,3
314,3,34,7,1,5,11,3
430,2,13,8,1,4,14,4
229,3,71,5,1,4,6,2
113,0,90,2,0,2,3,1
313,3,48,7,1,4,9,3
346,0,45,7,1,5,9,3
220,2,69,5,1,3,6,2
316,2,42,7,1,5,11,3
202,1,77,5,1,2,6,2
219,1,79,5,1,3,8,2
234,1,78,5,1,3,6,2
29,0,123,1,0,0,2,0
133,1,94,3,0,3,4,1
36,3,125,1,0,0,0,0
305,0,33,6,1,4,9,3
231,1,63,4,1,4,7,2
208,3,65,4,1,2,6,2
441,0,10,8,1,5,12,4
132,3,98,3,0,3,5,1
202,3,61,4,1,3,6,2
326,3,42,6,1,5,9,3
131,1,98,3,0,2,4,1
36,2,128,1,0,0,0,0
108,3,98,3,0,1,4,1
123,2,98,2,0,1,3,1
400,1,16,8,1,6,13,4
316,0,42,7,1,3,11,3
339,1,38,7,1,3,11,3
445,2,6,9,1,5,13,4
315,3,42,6,1,3,10,3
108,0,101,2,0,3,5,1
424,3,15,8,1,6,14,4
215,0,69,4,1,3,8,2
347,0,30,6,1,4,11,3
415,2,0,8,1,6,14,4
226,3,72,4,1,4,6,2
105,1,93,3,0,2,3,1
138,3,97,2,0,3,3,1
204,3,77,5,1,3,7,2
335,2,37,7,1,3,10,3
445,3,17,9,1,5,13,4
23,2,134,1,0,1,2,0
242,0,69,5,1,3,6,2
238,3,74,4,1,3,6,2
137,2,93,3,0,1,4,1
141,3,100,2,0,2,3,1
223,1,66,5,1,4,8,2
417,1,5,9,1,6,12,4
204,1,68,4,1,2,7,2
203,0,75,4,1,4,7,2
334,3,48,6,1,3,10,3
221,2,65,5,1,2,6,2
404,2,7,8,1,4,14,4
434,2,6,9,1,5,14,4
145,0,97,2,0,1,3,1
244,3,66,4,1,4,6,2
205,2,62,4,1,4,7,2
112,3,95,2,0,1,5,1
3,3,123,0,0,0,0,0
332,3,37,7,1,5,9,3
236,3,64,5,1,3,6,2
44,0,131,1,0,2,1,0
133,0,100,3,0,1,4,1
408,0,6,9,1,4,12,4
141,2,107,3,0,1,5,1
114,3,101,2,0,3,4,1
248,3,73,5,1,4,6,2
419,1,3,9,1,6,13,4
149,2,97,3,0,3,5,1
314,1,30,6,1,5,9,3
348,1,44,7,1,4,10,3
100,1,103,2,0,3,4,1
309,3,39,6,1,4,10,3
209,2,65,4,1,2,7,2
304,1,46,6,1,4,9,3
341,2,49,6,1,3,11,3
216,3,74,4,1,2,8,2
12,1,124,0,0,1,2,0
345,3,35,6,1,3,11,3
203,3,63,5,1,4,7,2
119,3,95,2,0,2,3,1
36,0,123,1,0,2,1,0
214,2,62,5,1,4,8,2
349,0,39,6,1,3,11,3
34,3,126,0,0,1,0,0
222,1,61,4,1,4,8,2
130,1,91,3,0,1,3,1
314,2,47,6,1,5,10,3
114,2,101,3,0,3,3,1
327,0,44,6,1,4,11,3
241,1,72,5,1,2,6,2
427,0,10,8,1,4,12,4
111,2,95,2,0,1,4,1
243,3,65,4,1,3,6,2
124,2,109,2,0,3,5,1
431,0,7,8,1,4,13,4
436,3,0,9,1,5,13,4
104,3,99,2,0,3,5,1
330,0,46,7,1,4,10,3
330,3,42,6,1,4,11,3
239,1,75,5,1,2,6,2
227,2,73,4,1,2,7,2
112,3,106,3,0,2,3,1
28,1,138,1,0,1,0,0
439,0,13,9,1,5,12,4
427,0,14,9,1,6,14,4
335,2,33,7,1,4,9,3
212,0,66,5,1,4,6,2
241,3,69,4,1,2,6,2
335,2,42,7,1,4,9,3
418,2,18,8,1,4,14,4
416,3,2,8,1,5,14,4
340,1,30,7,1,4,11,3
347,1,46,6,1,5,11,3
41,0,120,1,0,2,1,0
113,0,101,3,0,1,4,1
414,1,16,9,1,4,12,4
348,3,44,7,1,3,11,3
30,0,127,1,0,2,2,0
119,0,100,2,0,2,3,1
302,3,36,7,1,4,10,3
38,0,131,0,0,2,2,0
137,3,109,2,0,1,3,1
239,0,60,4,1,3,6,2
329,1,36,7,1,3,10,3
307,0,38,7,1,4,9,3
123,0,104,2,0,2,5,1
320,3,43,6,1,3,10,3
127,3,104,3,0,3,5,1
222,1,61,4,1,2,6,2
307,2,44,6,1,3,11,3
308,1,38,6,1,4,9,3
336,3,33,6,1,5,11,3
313,1,44,6,1,3,11,3
241,1,72,4,1,3,8,2
19,2,131,1,0,1,2,0
230,2,61,4,1,2,6,2
111,2,98,2,0,2,3,1
118,2,98,3,0,1,5,1
435,0,7,9,1,4,14,4
223,0,63,4,1,4,7,2
407,2,9,9,1,5,14,4
321,0,30,7,1,4,10,3
327,3,49,6,1,4,9,3
239,3,78,5,1,2,7,2
227,3,72,5,1,4,8,2
219,2,76,5,1,3,6,2
134,0,94,3,0,3,3,1
322,1,49,6,1,4,10,3
126,1,104,2,0,2,5,1
5,0,135,1,0,0,2,0
349,2,31,7,1,4,9,3
117,1,103,2,0,1,3,1
436,0,9,8,1,4,14,4
431,0,18,8,1,6,12,4
434,0,4,9,1,5,12,4
245,0,66,4,1,2,6,2
18,0,131,1,0,1,0,0
424,0,5,8,1,4,13,4
208,0,78,5,1,2,7,2
400,1,6,9,1,4,12,4
405,3,9,8,1,6,12,4
417,0,15,9,1,4,14,4
136,0,106,2,0,2,4,1
215,0,69,5,1,3,6,2
410,1,18,9,1,6,13,4
217,1,74,5,1,2,7,2
144,3,101,2,0,2,4,1
221,3,76,5,1,2,6,2
444,3,0,8,1,4,12,4
312,0,48,6,1,5,10,3
242,3,67,4,1,2,8,2
44,0,123,1,0,2,2,0
308,3,41,7,1,4,11,3
432,1,0,8,1,5,12,4
105,3,97,2,0,3,3,1
228,0,66,5,1,3,6,2
430,1,2,8,1,6,14,4
333,1,39,6,1,3,10,3
343,0,30,6,1,3,9,3
345,1,31,7,1,4,10,3
217,0,64,4,1,2,7,2
143,1,108,3,0,3,3,1
318,1,40,7,1,5,11,3
315,0,41,7,1,4,10,3
419,3,1,8,1,6,13,4
413,1,19,8,1,5,13,4
248,1,65,5,1,4,8,2
241,1,76,5,1,4,7,2
303,3,41,6,1,4,11,3
315,2,44,7,1,4,9,3
323,1,41,6,1,3,11,3
332,0,42,7,1,3,11,3
433,3,15,8,1,6,12,4
212,3,64,5,1,2,7,2
241,1,62,4,1,4,8,2
17,2,123,1,0,0,2,0
224,0,60,4,1,4,8,2
31,3,121,0,0,1,0,0
232,3,74,4,1,3,7,2
237,2,75,4,1,3,7,2
127,3,102,3,0,3,5,1
235,0,60,4,1,4,8,2
44,0,131,1,0,0,2,0
40,2,126,1,0,0,0,0
315,1,43,7,1,5,9,3
237,0,79,5,1,3,6,2
101,2,99,2,0,2,3,1
201,3,73,5,1,2,6,2
312,3,30,6,1,4,11,3
109,1,100,3,0,2,3,1
349,3,39,7,1,4,9,3
3,2,123,1,0,2,0,0
28,1,120,0,0,2,2,0
213,3,76,5,1,2,6,2
236,2,76,5,1,3,7,2
330,3,40,7,1,4,9,3
343,1,35,6,1,5,10,3
427,1,14,8,1,6,14,4
238,3,62,5,1,4,8,2
228,3,68,5,1,3,7,2
309,1,41,6,1,4,11,3
126,1,95,3,0,3,3,1
200,0,74,5,1,4,8,2
38,0,123,1,0,1,1,0
2,3,136,0,0,2,1,0
411,0,11,8,1,6,12,4
325,3,40,6,1,5,10,3
327,3,47,7,1,3,11,3
218,2,74,5,1,2,7,2
133,2,97,3,0,1,3,1
121,3,103,3,0,1,3,1
136,1,102,3,0,2,3,1
230,0,73,4,1,4,7,2
338,2,31,7,1,5,11,3
328,1,40,7,1,3,9,3
127,0,104,3,0,1,4,1
449,0,2,8,1,4,14,4
336,1,30,7,1,5,9,3
202,3,72,4,1,2,6,2
322,3,30,7,1,4,9,3
224,0,76,5,1,3,6,2
145,1,105,2,0,3,3,1
221,1,60,5,1,2,6,2
336,2,41,7,1,3,11,3
36,0,137,1,0,0,1,0
146,2,109,2,0,1,5,1
12,0,131,1,0,1,0,0
42,1,123,1,0,2,0,0
421,3,0,9,1,6,13,4
348,2,31,6,1,4,10,3
243,2,64,4,1,3,6,2
22,1,138,1,0,0,2,0
233,3,61,4,1,2,8,2
218,2,79,5,1,2,6,2
120,2,94,3,0,1,3,1
245,3,77,4,1,4,6,2
207,1,71,5,1,3,8,2
308,3,46,7,1,4,9,3
324,0,36,7,1,3,11,3
48,0,135,0,0,1,2,0
211,3,63,5,1,4,8,2
317,1,30,6,1,4,10,3
236,3,62,5,1,4,6,2
426,1,14,9,1,6,13,4
318,2,49,6,1,5,10,3
137,0,102,2,0,2,5,1
4,2,120,1,0,1,2,0
330,2,38,6,1,5,9,3
46,1,131,1,0,2,2,0
210,2,75,5,1,4,6,2
409,1,3,9,1,6,12,4
211,0,72,4,1,3,7,2
206,2,60,4,1,3,7,2
338,1,32,6,1,4,10,3
247,1,77,4,1,2,8,2
233,3,64,5,1,3,6,2
427,3,0,9,1,5,12,4
215,1,74,5,1,2,7,2
420,0,3,9,1,6,13,4
427,0,9,8,1,4,13,4
143,1,99,3,0,2,3,1
17,3,134,1,0,1,2,0
137,2,102,3,0,1,3,1
36,1,122,0,0,2,2,0
25,1,129,1,0,1,1,0
348,2,43,7,1,3,9,3
43,3,139,0,0,2,0,0
239,2,63,4,1,2,6,2
331,2,43,6,1,5,10,3
38,3,123,1,0,1,0,0
341,0,46,6,1,3,10,3
109,1,106,2,0,1,3,1
100,0,107,3,0,1,5,1
327,2,38,6,1,4,10,3
348,2,49,7,1,3,9,3
400,1,16,9,1,4,12,4
335,3,47,7,1,4,11,3
322,2,39,6,1,5,9,3
113,1,99,2,0,3,3,1
140,0,106,2,0,3,4,1
307,1,32,7,1,5,11,3
335,0,42,6,1,5,10,3
446,0,10,8,1,6,14,4
206,0,73,5,1,3,8,2
209,2,72,4,1,4,6,2
328,3,42,7,1,4,10,3
216,1,60,5,1,3,8,2
420,2,17,8,1,4,13,4
411,3,10,9,1,6,13,4
226,1,72,5,1,3,7,2
300,2,31,7,1,3,9,3
312,2,45,7,1,5,11,3
128,3,92,2,0,1,3,1
449,2,6,8,1,5,13,4
239,2,73,5,1,3,7,2
308,1,49,6,1,4,10,3
245,1,76,4,1,3,6,2
404,2,10,8,1,6,14,4
235,3,79,4,1,4,8,2
35,2,127,0,0,2,0,0
436,0,3,8,1,5,12,4
13,3,132,1,0,0,2,0
223,1,65,5,1,4,6,2
417,3,2,8,1,4,13,4
412,0,16,8,1,4,12,4
232,1,68,4,1,4,7,2
311,1,48,7,1,4,9,3
220,1,68,5,1,3,6,2
139,0,91,3,0,2,5,1
230,3,79,4,1,4,6,2
331,1,42,6,1,5,10,3
346,3,46,7,1,3,10,3
340,3,47,6,1,5,11,3
333,1,47,6,1,5,10,3
12,0,121,1,0,1,1,0
228,2,70,4,1,2,8,2
29,2,137,0,0,2,2,0
229,3,76,4,1,2,7,2
208,1,79,4,1,4,8,2
405,2,6,9,1,5,12,4
246,3,68,4,1,2,6,2
103,1,108,3,0,3,3,1
142,1,109,3,0,3,3,1
314,1,37,7,1,5,11,3
310,1,31,6,1,3,11,3
130,0,100,3,0,2,3,1
27,3,120,1,0,1,1,0
337,0,30,7,1,5,10,3
47,2,129,1,0,1,0,0
335,0,31,6,1,4,10,3
309,3,41,7,1,5,10,3
29,0,129,1,0,2,2,0
41,1,120,0,0,1,1,0
414,0,8,9,1,4,13,4
200,2,72,4,1,4,6,2
211,0,63,5,1,3,6,2
329,0,45,6,1,5,9,3
404,1,14,9,1,6,14,4
424,1,17,8,1,6,12,4
323,0,35,7,1,3,10,3
222,2,74,4,1,2,8,2
30,3,128,1,0,0,0,0
344,0,47,6,1,5,11,3
226,0,63,5,1,2,6,2
218,1,65,5,1,3,8,2
436,2,17,9,1,5,14,4
111,2,97,2,0,3,5,1
222,1,61,4,1,4,6,2
49,1,127,0,0,0,0,0
217,3,73,4,1,4,8,2
11,0,133,1,0,2,2,0
120,2,100,3,0,1,4,1
118,1,109,2,0,1,5,1
316,0,42,6,1,5,11,3
338,3,34,7,1,4,10,3
208,2,61,4,1,4,6,2
405,0,4,9,1,4,14,4
219,1,72,4,1,3,6,2
107,1,109,3,0,2,4,1
417,1,15,9,1,6,14,4
121,0,95,3,0,3,4,1
417,0,19,9,1,5,13,4
20,3,131,1,0,0,1,0
419,0,12,9,1,5,13,4
0,2,121,1,0,1,0,0
429,1,3,8,1,6,12,4
221,1,76,5,1,3,8,2
408,1,15,8,1,5,13,4
28,3,128,1,0,1,1,0
217,1,76,5,1,3,6,2
439,2,9,8,1,4,14,4
227,0,65,5,1,3,6,2
308,0,42,6,1,3,9,3
305,1,34,7,1,5,9,3
221,1,62,4,1,3,7,2
337,0,46,6,1,3,11,3
201,0,68,5,1,2,6,2
436,2,4,8,1,4,13,4
6,1,139,0,0,0,0,0
131,3,93,3,0,3,5,1
431,2,8,9,1,6,12,4
423,1,6,8,1,6,12,4
246,0,70,4,1,2,8,2
307,2,42,6,1,3,10,3
130,2,106,2,0,2,5,1
136,3,99,3,0,2,3,1
219,3,76,4,1,2,6,2
207,1,65,5,1,4,7,2
206,2,77,4,1,2,7,2
28,2,127,1,0,0,0,0
433,2,3,8,1,5,13,4
421,1,0,8,1,6,13,4
305,3,43,6,1,3,10,3
211,3,76,5,1,4,7,2
241,2,72,5,1,2,8,2
345,0,33,7,1,4,9,3
327,2,46,7,1,4,9,3
125,2,107,2,0,1,3,1
408,1,13,9,1,5,13,4
348,3,48,6,1,3,10,3
426,3,5,9,1,6,13,4
338,3,39,6,1,4,9,3
327,1,40,6,1,5,10,3
231,0,76,5,1,2,7,2
433,0,16,8,1,6,13,4
431,1,11,9,1,4,12,4
9,3,121,0,0,2,2,0
34,2,124,0,0,2,0,0
217,1,70,4,1,3,7,2
336,2,31,7,1,4,11,3
423,3,5,8,1,5,12,4
123,0,97,3,0,1,5,1
229,0,74,4,1,3,7,2
226,2,76,4,1,2,6,2
429,0,6,8,1,4,12,4
303,2,35,6,1,3,11,3
326,2,32,7,1,5,11,3
244,1,63,4,1,3,7,2
202,0,65,4,1,4,8,2
105,1,106,3,0,1,3,1
6,1,137,0,0,0,1,0
420,3,0,9,1,5,14,4
306,1,33,6,1,3,9,3
401,3,7,8,1,5,13,4
408,0,8,9,1,4,13,4
202,3,69,5,1,2,6,2
347,1,42,7,1,4,11,3
414,3,0,9,1,6,12,4
348,1,49,7,1,4,9,3
134,1,100,2,0,2,4,1
220,1,78,5,1,2,6,2
116,1,91,2,0,2,4,1
405,3,10,9,1,6,12,4
314,0,46,6,1,3,10,3
111,0,94,3,0,1,4,1
332,1,39,6,1,5,10,3
309,2,38,7,1,3,11,3
205,2,76,4,1,2,7,2
141,2,105,2,0,3,4,1
332,2,39,7,1,4,10,3
212,2,61,5,1,2,6,2
301,0,44,7,1,3,11,3
217,3,63,4,1,4,8,2
449,0,0,9,1,6,14,4
216,3,68,4,1,4,7,2
233,1,76,5,1,2,7,2
407,1,0,8,1,4,13,4
228,3,71,5,1,2,8,2
105,3,102,3,0,2,3,1
14,1,133,1,0,1,2,0
330,0,42,7,1,3,11,3
344,0,30,6,1,5,9,3
329,1,37,7,1,5,9,3
119,1,101,2,0,3,3,1
125,2,99,2,0,2,3,1
19,0,135,1,0,0,2,0
223,1,65,4,1,3,8,2
239,2,76,4,1,2,6,2
247,2,67,4,1,4,7,2
215,2,71,5,1,3,7,2
403,3,18,8,1,6,14,4
233,0,79,4,1,3,6,2
202,0,72,4,1,4,8,2
302,0,30,7,1,4,9,3
237,2,73,4,1,4,7,2
348,3,33,7,1,3,10,3
400,3,9,8,1,5,13,4
411,1,11,8,1,6,14,4
118,2,107,2,0,2,4,1
434,1,3,9,1,5,13,4
249,1,62,4,1,3,6,2
104,2,91,2,0,2,5,1
242,3,63,5,1,4,7,2
438,0,3,9,1,6,12,4
209,1,67,4,1,2,7,2
209,3,69,4,1,4,7,2
336,1,30,6,1,3,10,3
135,1,109,3,0,2,3,1
49,3,135,0,0,0,2,0
134,2,94,3,0,1,3,1
124,0,101,3,0,2,3,1
148,1,102,2,0,1,5,1
130,1,95,3,0,1,3,1
343,2,44,6,1,5,9,3
135,3,92,3,0,3,5,1
218,1,62,4,1,3,8,2
406,2,9,9,1,4,14,4
208,1,74,4,1,2,7,2
324,0,48,6,1,5,9,3
122,1,91,3,0,2,3,1
112,1,106,3,0,2,5,1
41,1,130,1,0,1,0,0
110,3,100,3,0,1,3,1
134,2,103,2,0,2,3,1
123,0,99,3,0,3,3,1
33,1,125,0,0,1,1,0
144,2,94,3,0,2,5,1
214,0,67,5,1,3,8,2
110,1,94,2,0,2,4,1
218,0,60,5,1,3,8,2
247,1,60,4,1,2,6,2
327,1,46,6,1,3,10,3
47,2,121,1,0,0,0,0
337,2,43,6,1,4,11,3
313,3,49,7,1,3,11,3
6,0,124,0,0,0,1,0
431,1,6,8,1,5,12,4
400,2,11,9,1,6,12,4
21,0,134,1,0,0,1,0
132,2,104,3,0,2,4,1
347,2,47,7,1,5,9,3
311,1,38,6,1,3,9,3
128,1,96,3,0,1,5,1
132,1,96,3,0,3,4,1
232,0,72,4,1,3,6,2
221,0,73,4,1,3,8,2
305,1,30,6,1,3,11,3
230,2,66,5,1,3,7,2
244,1,66,4,1,2,7,2
319,0,38,6,1,4,10,3
15,1,130,0,0,0,1,0
132,0,101,3,0,3,4,1
310,0,49,7,1,4,10,3
433,0,5,9,1,4,12,4
236,2,77,4,1,3,6,2
236,1,76,5,1,4,8,2
127,0,105,3,0,1,3,1
205,1,73,5,1,2,6,2
243,0,64,4,1,3,8,2
100,0,103,2,0,1,4,1
136,3,109,3,0,2,4,1
221,3,64,5,1,2,6,2
32,1,137,0,0,0,0,0
217,1,70,5,1,4,7,2
137,1,108,2,0,1,5,1
228,0,63,4,1,2,7,2
138,3,108,2,0,1,3,1
401,2,11,8,1,4,14,4
200,3,66,5,1,2,8,2
305,3,33,7,1,3,11,3
347,0,35,6,1,5,10,3
226,2,71,4,1,4,6,2
41,1,136,1,0,1,0,0
214,3,73,4,1,4,7,2
213,2,61,4,1,4,6,2
331,2,41,7,1,4,11,3
210,1,70,4,1,2,8,2
104,2,105,2,0,1,4,1
118,1,90,2,0,2,5,1
226,1,61,5,1,4,7,2
345,2,45,7,1,3,10,3
200,3,62,5,1,2,7,2
246,0,67,5,1,2,7,2
440,0,7,9,1,4,12,4
332,3,42,7,1,4,10,3
130,1,98,3,0,1,4,1
128,1,94,2,0,3,4,1
138,0,100,3,0,3,5,1
100,1,90,3,0,2,5,1
144,3,105,2,0,2,5,1
126,1,108,2,0,2,3,1
140,0,103,2,0,1,3,1
106,3,107,2,0,1,3,1
442,1,8,9,1,4,13,4
30,1,125,0,0,0,2,0
228,0,64,5,1,3,6,2
242,1,75,5,1,2,8,2
437,3,7,9,1,5,14,4
144,2,106,2,0,3,3,1
202,2,64,4,1,2,7,2
442,1,19,8,1,5,13,4
401,0,17,9,1,5,14,4
349,1,39,7,1,5,11,3
108,2,95,2,0,3,5,1
138,3,101,3,0,2,4,1
329,2,34,6,1,5,9,3
413,2,17,8,1,6,12,4
247,3,72,4,1,2,7,2
219,3,73,4,1,2,8,2
113,0,109,2,0,2,3,1
321,2,34,7,1,4,11,3
126,1,94,2,0,2,5,1
214,3,62,4,1,4,7,2
225,2,67,5,1,4,8,2
214,0,62,5,1,2,7,2
130,2,100,2,0,3,4,1
110,1,90,3,0,1,5,1
313,3,31,7,1,4,11,3
103,1,94,2,0,3,4,1
234,3,72,4,1,3,6,2
131,1,104,3,0,2,3,1
235,2,65,5,1,3,6,2
249,3,62,4,1,3,7,2
31,1,135,1,0,0,0,0
213,3,63,4,1,2,7,2
133,2,91,3,0,1,5,1
2,1,134,0,0,0,0,0
436,2,10,8,1,4,13,4
248,3,63,4,1,4,8,2
322,0,42,7,1,5,10,3
135,0,96,2,0,3,4,1
321,3,45,6,1,5,11,3
349,2,39,7,1,4,11,3
247,1,76,4,1,4,6,2
243,2,68,4,1,3,8,2
200,3,62,4,1,3,7,2
235,0,75,5,1,3,6,2
449,0,6,8,1,5,12,4
313,1,45,7,1,3,9,3
416,1,9,9,1,4,14,4
114,2,105,2,0,3,4,1
326,3,48,7,1,4,11,3
446,0,12,9,1,5,14,4
116,3,99,3,0,2,3,1
1,3,123,0,0,2,0,0
324,2,35,7,1,5,11,3
207,1,66,5,1,3,6,2
309,2,30,6,1,3,10,3
127,2,95,3,0,3,5,1
335,3,34,7,1,5,10,3
149,3,99,2,0,2,4,1
139,2,107,2,0,1,4,1
134,2,103,2,0,1,3,1
315,1,43,7,1,3,11,3
316,1,39,7,1,3,10,3
249,0,69,5,1,4,8,2
200,1,75,5,1,4,7,2
421,0,14,9,1,4,12,4
203,1,70,4,1,2,8,2
326,1,37,6,1,5,9,3
237,2,67,4,1,4,6,2
220,0,78,5,1,4,7,2
210,1,75,4,1,2,8,2
230,1,66,4,1,4,7,2
303,0,35,7,1,4,10,3
222,2,69,5,1,3,7,2
143,0,100,2,0,3,5,1
438,1,5,9,1,4,13,4
235,3,76,5,1,3,8,2
223,2,61,5,1,3,6,2
410,3,10,8,1,5,13,4
336,2,45,6,1,5,9,3
111,2,93,2,0,2,5,1
440,2,17,9,1,6,14,4
309,1,35,7,1,5,11,3
235,3,67,4,1,3,6,2
129,3,102,3,0,3,4,1
314,3,35,7,1,3,10,3
306,3,35,7,1,5,11,3
231,3,68,4,1,2,6,2
439,0,18,9,1,6,13,4
346,0,46,7,1,3,9,3
106,1,100,2,0,3,5,1
205,2,60,5,1,2,8,2
143,3,107,2,0,3,5,1
329,2,37,7,1,4,9,3
43,0,131,1,0,0,1,0
214,2,62,5,1,4,6,2
333,0,41,6,1,5,10,3
447,3,10,9,1,4,14,4
236,1,69,4,1,4,7,2
305,0,44,6,1,5,10,3
126,3,91,2,0,1,3,1
349,0,31,6,1,3,9,3
140,3,106,2,0,3,4,1
241,1,76,4,1,4,8,2
303,2,36,6,1,4,10,3
114,0,99,2,0,3,4,1
115,0,104,2,0,1,5,1
314,3,32,6,1,4,9,3
320,0,47,7,1,3,11,3
322,3,35,6,1,4,9,3
324,3,48,6,1,4,11,3
208,2,61,5,1,3,7,2
131,3,90,3,0,1,4,1
244,1,75,5,1,2,7,2
104,1,97,2,0,2,4,1
436,0,7,8,1,5,13,4
228,1,67,4,1,2,7,2
220,1,66,4,1,4,6,2
200,2,75,4,1,2,7,2
406,1,18,8,1,4,14,4
105,2,92,3,0,2,5,1
218,2,76,5,1,3,6,2
239,3,75,5,1,3,8,2
313,3,34,7,1,3,11,3
5,3,130,0,0,1,2,0
408,0,2,9,1,6,13,4
431,0,13,9,1,5,14,4
207,3,77,4,1,3,8,2
340,0,38,7,1,5,10,3
421,2,7,9,1,5,12,4
307,0,33,6,1,4,10,3
143,1,107,2,0,3,4,1
233,3,60,4,1,3,8,2
348,2,43,6,1,5,11,3
208,3,74,5,1,3,6,2
309,2,32,6,1,5,11,3
421,2,12,8,1,6,13,4
412,1,6,9,1,5,13,4
241,2,68,4,1,2,8,2
134,0,97,3,0,2,3,1
407,2,13,9,1,4,14,4
312,1,40,6,1,5,9,3
134,1,96,2,0,2,5,1
428,3,15,8,1,5,12,4
409,3,17,8,1,4,12,4
229,0,62,4,1,2,7,2
205,3,69,5,1,3,7,2
228,0,79,4,1,4,7,2
37,1,120,1,0,0,2,0
204,2,63,5,1,2,8,2
306,0,36,6,1,5,10,3
10,3,135,1,0,2,2,0
219,2,61,5,1,3,6,2
226,2,79,4,1,3,8,2
214,2,61,5,1,2,7,2
428,0,9,8,1,4,13,4
211,1,77,4,1,3,6,2
237,0,78,5,1,3,8,2
332,3,37,7,1,3,10,3
234,2,71,4,1,2,7,2
143,2,103,3,0,1,3,1
247,2,71,4,1,4,8,2
132,3,109,2,0,1,5,1
114,2,99,2,0,1,3,1
235,0,76,4,1,3,8,2
244,0,73,4,1,4,8,2
430,2,12,9,1,5,12,4
243,1,72,5,1,4,6,2
241,0,72,4,1,2,6,2
324,3,31,7,1,4,9,3
1,1,122,1,0,1,1,0
317,1,37,6,1,5,10,3
140,0,101,3,0,1,3,1
443,0,19,8,1,5,13,4
149,0,98,2,0,3,3,1
225,3,68,5,1,2,7,2
13,1,125,1,0,1,2,0
406,0,3,9,1,6,12,4
243,0,62,4,1,4,6,2
225,3,64,5,1,2,7,2
39,1,123,0,0,1,0,0
314,0,34,7,1,5,11,3
110,2,103,3,0,3,3,1
429,1,14,9,1,6,12,4
101,1,92,2,0,2,4,1
138,2,108,3,0,2,3,1
25,2,136,1,0,0,0,0
246,0,73,5,1,3,8,2
212,1,79,5,1,2,7,2
31,3,130,1,0,0,2,0
344,1,44,7,1,4,10,3
238,1,71,4,1,2,8,2
220,0,63,5,1,2,6,2
241,2,71,5,1,4,6,2
213,3,68,4,1,2,6,2
214,2,73,4,1,4,8,2
121,1,99,2,0,1,3,1
141,0,92,2,0,1,3,1
