daily_tiktok_screen_time,average_scrolls_per_session,tiktok_usage_time_of_day,max_consecutive_watch_time,video_likes_per_day,number_of_followed_accounts,frequency_of_comments_posted,videos_saved_per_week,self_control_score,boredom_level,workload_per_day,productivity_hours_lost
110,60,1,26,7,342,9,0,9,5,7,0
273,68,2,35,13,123,5,8,3,10,9,12
62,68,3,59,18,626,4,13,8,4,6,6
69,88,2,91,47,191,14,15,1,9,9,21
117,33,3,95,43,425,3,20,3,5,7,14
14,63,3,100,1,668,12,10,10,4,4,10
112,22,2,107,11,426,1,20,6,7,4,13
205,23,1,82,40,162,11,4,7,7,5,12
271,79,3,75,13,257,9,14,3,2,8,14
56,79,3,51,42,336,17,14,3,1,6,14
153,61,2,22,19,500,4,1,6,9,6,7
278,94,3,71,38,79,14,26,6,3,7,18
133,30,0,45,1,219,2,14,4,10,5,8
115,39,3,37,29,239,10,3,7,8,4,9
167,63,1,9,13,72,5,1,8,10,6,5
156,95,1,58,7,845,6,19,8,9,8,10
154,28,3,24,24,902,7,3,10,6,3,7
129,68,2,14,8,836,5,14,3,9,4,10
284,56,3,109,2,688,4,11,4,8,3,18
101,75,1,69,5,98,13,11,3,8,6,15
67,10,2,113,35,489,8,21,10,5,7,9
238,97,0,95,33,324,17,9,1,5,2,23
126,61,1,106,45,807,14,10,2,4,5,20
288,30,1,14,15,878,14,8,10,2,6,3
136,69,0,69,27,127,12,3,8,9,9,11
138,57,0,66,19,499,6,11,5,3,2,9
67,83,2,18,10,105,14,20,2,8,4,12
131,21,0,28,17,740,19,28,7,5,7,7
10,96,2,119,34,674,3,15,7,7,3,18
248,85,1,7,39,431,16,14,9,7,2,15
299,89,3,19,34,843,0,28,3,6,8,12
105,64,1,72,6,495,10,0,5,7,5,12
135,12,2,27,30,392,3,3,10,1,9,0
127,75,0,96,15,930,3,17,8,9,8,11
57,15,2,16,23,206,12,14,8,6,6,3
98,31,2,12,0,507,13,8,5,4,7,2
246,76,0,72,31,642,9,18,4,2,9,11
281,82,0,55,29,528,6,13,8,3,6,9
198,30,3,119,16,136,13,8,5,8,4,19
201,46,3,68,4,697,2,23,3,6,7,10
78,42,2,18,23,683,19,20,4,6,2,13
287,10,3,27,47,776,2,18,8,3,4,9
256,74,0,24,17,615,13,26,9,2,6,9
85,80,1,54,20,432,12,21,3,8,7,14
163,46,3,8,45,167,15,0,3,6,5,10
153,49,3,21,2,838,3,5,1,6,9,5
95,72,1,101,5,335,11,2,9,9,6,10
194,61,2,20,45,949,19,3,10,8,9,6
294,85,3,98,14,543,8,24,3,5,7,18
229,41,2,102,29,559,16,8,10,8,4,18
78,36,3,31,48,360,3,14,6,6,2,9
56,51,1,25,12,368,8,7,5,6,5,5
103,61,2,76,32,156,4,24,2,10,2,19
247,38,1,105,11,233,2,28,8,2,7,10
213,55,0,119,24,150,17,0,5,5,4,17
227,75,1,84,48,932,12,25,5,7,4,23
48,55,1,17,0,578,2,15,3,3,8,0
109,92,2,24,32,649,17,24,6,5,8,11
298,34,3,105,25,659,0,5,3,10,4,19
263,74,0,11,35,124,12,29,8,3,8,8
231,66,2,63,34,846,13,21,7,2,8,13
32,37,3,90,5,112,0,27,7,8,8,10
259,27,2,112,29,389,11,4,4,4,4,18
19,72,1,40,46,764,1,24,10,5,6,7
255,27,3,49,11,822,8,15,10,10,3,12
109,33,3,9,1,921,4,22,9,5,7,0
299,60,0,37,15,526,0,15,3,5,9,6
189,38,0,94,15,138,3,19,7,4,6,10
232,28,3,117,39,862,16,7,5,1,3,19
259,40,1,55,5,374,12,1,9,1,9,2
156,95,3,44,3,891,4,13,1,7,7,13
105,38,3,47,49,708,16,20,7,2,3,14
266,29,2,17,38,279,2,3,5,7,3,10
13,75,2,71,37,242,9,19,3,10,2,18
25,77,0,42,37,503,9,18,1,10,6,16
289,55,2,98,34,683,0,12,3,7,3,21
256,28,2,51,33,194,1,0,6,3,9,3
267,16,3,38,12,284,6,24,6,8,6,9
169,51,1,65,41,398,3,15,8,3,4,12
161,25,0,75,43,318,9,3,8,3,4,9
187,61,2,44,29,617,1,29,9,6,5,9
172,42,1,74,47,857,3,17,10,10,4,14
42,48,2,61,19,890,16,7,10,7,2,12
188,52,0,109,12,623,5,11,9,2,6,9
110,93,3,35,14,178,4,14,2,7,4,13
277,55,1,53,49,68,6,25,1,3,8,15
74,13,3,38,6,670,7,25,5,4,6,5
177,24,0,49,48,975,4,19,9,2,6,5
52,52,1,74,11,929,13,27,10,2,5,8
53,39,0,31,7,76,3,25,7,3,7,0
294,48,0,117,23,69,8,25,2,3,2,21
21,52,1,38,17,370,0,6,7,3,9,0
104,23,0,23,18,377,1,22,4,7,8,5
262,79,0,68,4,293,10,17,5,8,3,16
251,95,2,37,39,514,1,9,7,10,2,16
44,27,0,6,29,166,1,10,8,9,8,0
224,55,3,100,39,75,3,15,9,6,3,16
99,88,3,14,11,828,6,22,8,6,8,5
273,30,1,29,31,723,2,0,6,4,2,9
102,85,2,91,24,400,5,1,10,3,3,11
99,70,0,103,43,813,17,12,10,5,2,17
124,84,0,110,19,150,12,2,3,6,5,14
114,74,1,58,37,682,4,27,2,3,7,14
205,34,3,83,20,988,13,22,6,4,8,12
123,98,1,21,15,574,11,11,1,2,7,10
84,90,3,17,35,788,10,23,1,8,5,17
226,80,3,12,49,814,12,4,9,8,2,14
286,41,0,70,42,202,3,28,3,4,3,18
258,57,0,78,48,744,4,3,2,2,7,14
173,98,3,118,15,456,19,7,8,3,8,16
201,91,1,92,36,51,15,29,8,5,6,18
236,44,0,85,47,92,4,18,9,8,7,13
186,99,2,71,37,189,19,11,6,6,6,18
108,85,2,42,37,887,15,14,5,10,7,15
45,87,2,23,13,409,12,20,2,2,8,8
105,17,2,55,1,537,17,13,5,5,4,9
161,31,2,45,16,875,13,14,9,4,6,6
160,85,3,35,23,589,9,21,5,7,6,13
199,41,3,109,14,879,9,25,8,4,4,16
233,55,0,14,24,320,10,25,4,5,4,10
46,22,3,84,22,569,2,0,6,10,3,11
277,42,1,47,2,915,7,13,5,1,6,7
192,10,2,78,47,130,16,0,9,4,4,12
22,76,3,75,1,771,11,22,6,10,3,16
288,89,2,44,23,383,1,6,7,6,5,11
226,59,1,57,35,154,16,24,10,3,3,13
295,41,2,114,7,64,10,8,2,10,8,17
282,19,3,66,4,83,7,20,6,10,7,13
71,10,2,30,43,234,3,23,7,5,4,7
93,80,3,62,46,949,1,12,6,6,9,10
226,56,3,105,12,772,8,18,7,2,5,14
196,16,1,115,36,564,11,7,5,3,6,13
28,71,0,6,14,623,2,10,6,8,8,1
186,61,2,108,40,392,10,16,8,7,6,16
109,77,3,89,1,324,16,14,7,9,2,16
242,13,0,72,1,712,17,1,9,5,2,9
85,66,2,113,9,433,16,29,1,10,4,22
274,98,0,102,12,638,1,21,6,6,7,14
293,14,0,65,39,377,6,21,6,8,4,14
215,80,2,60,0,920,3,25,5,2,2,12
232,64,1,115,15,991,14,18,10,2,5,13
61,76,1,43,9,81,13,28,4,3,9,9
153,66,2,109,1,961,8,28,8,4,4,14
78,84,0,87,18,59,10,14,7,5,3,13
108,85,0,93,41,265,14,5,4,8,3,20
34,48,2,15,25,326,17,10,8,10,5,8
62,89,0,42,24,993,11,8,7,3,3,9
160,52,2,37,1,835,12,10,6,6,5,7
153,80,1,31,19,613,9,17,2,10,5,15
66,94,3,106,12,787,16,2,3,3,8,15
48,19,0,13,36,240,5,6,5,5,5,3
118,91,2,94,12,222,15,12,10,4,3,12
190,38,2,50,41,341,1,5,1,9,7,14
51,35,0,55,48,365,11,19,4,2,6,10
195,39,2,51,20,221,9,8,4,1,4,10
232,74,1,86,6,324,7,3,10,6,6,10
131,47,0,115,25,707,17,4,2,10,3,20
142,24,2,81,43,976,14,18,8,6,2,17
172,98,3,80,38,190,9,5,10,8,9,13
224,28,0,77,35,727,4,2,2,4,4,12
230,37,2,114,13,588,17,11,7,6,7,16
244,24,3,103,42,368,19,23,5,6,3,20
155,87,1,107,11,417,5,11,6,7,9,12
248,70,2,72,32,951,13,1,8,4,4,15
85,47,1,18,44,250,17,7,5,4,8,7
18,41,3,11,12,804,1,9,8,2,7,0
83,87,2,6,24,338,15,4,8,2,5,5
262,86,2,72,1,866,13,1,7,5,4,13
239,50,1,65,29,544,9,24,6,3,4,14
16,94,3,94,47,677,11,7,10,8,2,19
183,85,1,38,45,160,19,21,9,1,6,11
150,24,3,118,25,355,9,21,3,3,8,15
177,97,2,34,36,990,0,3,5,5,3,12
179,93,2,82,29,512,4,1,9,7,4,14
292,72,0,27,2,445,14,5,9,10,8,6
131,10,0,8,13,301,1,17,9,5,8,0
203,52,3,83,1,219,11,26,3,3,9,10
14,23,2,98,5,202,7,26,1,10,5,16
38,11,0,24,45,525,1,27,6,10,8,4
174,17,1,37,30,439,8,24,2,2,3,11
145,20,1,68,25,820,3,16,6,10,5,11
154,29,2,105,48,959,8,11,9,3,9,9
226,53,2,55,23,523,2,28,8,8,5,12
141,68,1,34,7,563,7,7,6,1,9,3
79,26,0,113,25,496,1,29,7,8,4,15
261,21,1,84,12,627,10,27,8,6,7,10
284,93,3,57,22,577,6,20,10,7,2,16
191,83,3,64,46,98,6,13,1,8,4,21
176,30,0,22,24,541,18,24,6,9,3,13
100,76,2,17,0,306,13,13,9,10,5,8
211,13,1,107,40,744,19,29,7,8,3,22
28,97,3,56,36,915,3,21,6,5,8,10
48,63,1,73,17,996,9,28,1,6,8,12
135,36,2,11,16,586,18,19,1,5,3,12
182,83,1,27,20,124,2,11,8,4,8,4
150,77,2,48,49,738,12,5,9,9,5,15
251,85,2,89,39,265,17,2,8,3,8,12
229,88,0,49,11,215,6,4,3,5,3,13
135,99,1,36,39,742,12,2,4,6,2,15
67,43,3,53,36,124,5,27,10,9,6,11
157,10,0,32,47,892,5,26,10,6,9,3
10,68,2,44,27,855,11,16,3,3,8,9
199,61,2,22,26,332,1,28,4,2,7,9
200,54,0,97,18,488,10,13,1,10,4,20
126,27,0,117,28,904,7,6,3,7,3,17
143,82,3,10,18,704,16,1,6,5,7,6
67,59,1,111,42,822,3,9,2,2,9,12
53,43,2,57,13,908,15,12,2,5,8,9
182,63,2,6,38,639,11,5,5,9,6,11
169,63,1,115,35,855,12,23,8,10,9,18
182,61,2,87,24,388,17,18,4,6,4,19
158,39,3,39,47,523,16,28,8,10,3,16
89,13,2,119,5,659,4,6,6,2,8,7
222,62,0,67,15,571,11,18,4,10,5,16
212,33,1,62,46,299,6,9,9,9,7,12
261,59,0,110,6,962,14,16,5,3,3,17
238,54,0,31,5,419,9,3,2,1,8,6
173,70,1,55,39,891,7,21,9,3,2,14
236,99,1,32,16,977,3,9,7,1,3,8
156,16,0,37,20,672,14,5,4,7,7,7
29,54,0,105,0,758,14,1,9,6,5,8
56,94,1,77,7,366,16,24,6,2,4,14
242,87,0,70,23,304,0,22,3,7,3,18
23,43,2,96,30,527,3,6,10,7,8,6
152,19,3,69,5,234,9,19,7,4,6,8
10,20,0,97,3,584,18,22,10,2,8,3
63,54,1,42,22,424,7,16,3,4,5,8
268,58,3,76,30,671,3,6,4,5,8,12
153,49,1,55,35,757,2,5,9,10,7,9
21,60,3,19,23,687,6,19,8,1,9,1
233,80,2,49,13,56,9,20,10,1,7,6
281,37,0,49,20,395,2,1,7,3,8,4
165,71,3,48,36,484,16,12,1,2,2,19
17,24,2,61,45,894,10,0,9,5,2,9
131,47,2,88,32,756,3,28,9,7,2,16
173,58,0,115,15,781,11,3,9,2,6,10
99,10,1,29,8,796,9,3,5,7,5,6
145,59,3,22,45,179,15,14,5,7,3,15
195,23,0,41,44,441,18,17,3,2,7,12
187,22,1,9,28,758,4,4,9,8,7,2
37,31,2,53,3,240,1,14,2,3,8,3
229,66,3,96,42,531,13,11,4,4,7,19
50,94,0,8,31,732,10,13,2,8,6,11
237,50,0,10,38,385,6,0,4,1,3,8
201,46,3,73,31,250,16,8,6,3,8,12
154,91,2,62,47,752,19,26,7,9,6,19
